"Date","Time","Location","Odometer","Eng Hours","Event Type/Status","Origin","Sequence #","VIN","Power Unit"
"07/31/2023","18:40:20","1mi NW CO Eads","1,167,998","35,061.4","Power-up","ELD","1326","1XKYD49X8GJ491411","12"
"07/31/2023","23:51:17","TX Stratford","1,168,210","35,066.6","Off-duty","Driver","1338","1XKYD49X8GJ491411","12"
"08/01/2023","00:12:04","","1,168,210","35,066.5","Diagnostic cleared","ELD","0999","1XKYD49X8GJ491411","12"
"08/01/2023","00:14:53","","","","Third certification","ELD","1339","1XKYD49X8GJ491411","12"
"08/01/2023","00:15:22","","","","First certification","ELD","133A","1XKYD49X8GJ491411","12"
"08/01/2023","00:22:47","TX Stratford","1,168,210","35,067.1","Driving","ELD","133B","1XKYD49X8GJ491411","12"
"08/01/2023","01:22:50","1mi SW OK Hooker","1,168,270","35,068.1","Intermediate log","ELD","133C","1XKYD49X8GJ491411","12"
"08/01/2023","01:32:43","3mi NE OK Hooker","1,168,275","35,068.3","Off-duty","Driver","133E","1XKYD49X8GJ491411","12"
"08/01/2023","01:33:02","3mi NE OK Hooker","1,168,275","35,068.2","Shut-down","ELD","133D","1XKYD49X8GJ491411","12"
"08/01/2023","03:55:37","3mi NE OK Hooker","1,168,275","35,068.2","Power-up","ELD","133F","1XKYD49X8GJ491411","12"
"08/01/2023","04:01:07","3mi NE OK Hooker","1,168,275","35,068.3","Driving","ELD","1340","1XKYD49X8GJ491411","12"
"08/01/2023","04:17:44","1mi WSW KS Liberal","1,168,291","35,068.6","On-duty, not driving","ELD","1341","1XKYD49X8GJ491411","12"
"08/01/2023","04:18:37","","1,168,275","35,068.3","Diagnostic logged","ELD","099A","1XKYD49X8GJ491411","12"
"08/01/2023","04:25:46","","1,168,275","35,068.3","Diagnostic cleared","ELD","099B","1XKYD49X8GJ491411","12"
"08/01/2023","04:27:07","1mi WSW KS Liberal","1,168,291","35,068.7","Driving","ELD","1342","1XKYD49X8GJ491411","12"
"08/01/2023","04:41:25","1mi E KS Liberal","1,168,294","35,069","On-duty, not driving (Inactive - Changed)","ELD","1343","1XKYD49X8GJ491411","12"
